index,file,label
1,Muppets-02-01-01,no_kermit
2,Muppets-02-01-01,no_kermit
3,Muppets-02-01-01,no_kermit
4,Muppets-02-01-01,no_kermit
5,Muppets-02-01-01,no_kermit
6,Muppets-02-01-01,no_kermit
7,Muppets-02-01-01,no_kermit
8,Muppets-02-01-01,no_kermit
9,Muppets-02-01-01,no_kermit
10,Muppets-02-01-01,no_kermit
11,Muppets-02-01-01,no_kermit
12,Muppets-02-01-01,no_kermit
13,Muppets-02-01-01,no_kermit
14,Muppets-02-01-01,no_kermit
15,Muppets-02-01-01,no_kermit
16,Muppets-02-01-01,no_kermit
17,Muppets-02-01-01,no_kermit
18,Muppets-02-01-01,no_kermit
19,Muppets-02-01-01,no_kermit
20,Muppets-02-01-01,no_kermit
21,Muppets-02-01-01,no_kermit
22,Muppets-02-01-01,no_kermit
23,Muppets-02-01-01,no_kermit
24,Muppets-02-01-01,no_kermit
25,Muppets-02-01-01,no_kermit
26,Muppets-02-01-01,no_kermit
27,Muppets-02-01-01,no_kermit
28,Muppets-02-01-01,no_kermit
29,Muppets-02-01-01,no_kermit
30,Muppets-02-01-01,no_kermit
31,Muppets-02-01-01,no_kermit
32,Muppets-02-01-01,no_kermit
33,Muppets-02-01-01,no_kermit
34,Muppets-02-01-01,no_kermit
35,Muppets-02-01-01,no_kermit
36,Muppets-02-01-01,no_kermit
37,Muppets-02-01-01,no_kermit
38,Muppets-02-01-01,no_kermit
39,Muppets-02-01-01,kermit
40,Muppets-02-01-01,kermit
41,Muppets-02-01-01,kermit
42,Muppets-02-01-01,kermit
43,Muppets-02-01-01,kermit
44,Muppets-02-01-01,kermit
45,Muppets-02-01-01,kermit
46,Muppets-02-01-01,kermit
47,Muppets-02-01-01,kermit
48,Muppets-02-01-01,no_kermit
49,Muppets-02-01-01,no_kermit
50,Muppets-02-01-01,no_kermit
51,Muppets-02-01-01,no_kermit
52,Muppets-02-01-01,no_kermit
53,Muppets-02-01-01,no_kermit
54,Muppets-02-01-01,no_kermit
55,Muppets-02-01-01,no_kermit
56,Muppets-02-01-01,no_kermit
57,Muppets-02-01-01,no_kermit
58,Muppets-02-01-01,no_kermit
59,Muppets-02-01-01,no_kermit
60,Muppets-02-01-01,no_kermit
61,Muppets-02-01-01,no_kermit
62,Muppets-02-01-01,no_kermit
63,Muppets-02-01-01,no_kermit
64,Muppets-02-01-01,no_kermit
65,Muppets-02-01-01,no_kermit
66,Muppets-02-01-01,no_kermit
67,Muppets-02-01-01,no_kermit
68,Muppets-02-01-01,no_kermit
69,Muppets-02-01-01,no_kermit
70,Muppets-02-01-01,no_kermit
71,Muppets-02-01-01,no_kermit
72,Muppets-02-01-01,no_kermit
73,Muppets-02-01-01,no_kermit
74,Muppets-02-01-01,no_kermit
75,Muppets-02-01-01,kermit
76,Muppets-02-01-01,kermit
77,Muppets-02-01-01,kermit
78,Muppets-02-01-01,kermit
79,Muppets-02-01-01,kermit
80,Muppets-02-01-01,kermit
81,Muppets-02-01-01,kermit
82,Muppets-02-01-01,kermit
83,Muppets-02-01-01,kermit
84,Muppets-02-01-01,kermit
85,Muppets-02-01-01,kermit
86,Muppets-02-01-01,kermit
87,Muppets-02-01-01,no_kermit
88,Muppets-02-01-01,no_kermit
89,Muppets-02-01-01,no_kermit
90,Muppets-02-01-01,no_kermit
91,Muppets-02-01-01,no_kermit
92,Muppets-02-01-01,no_kermit
93,Muppets-02-01-01,no_kermit
94,Muppets-02-01-01,no_kermit
95,Muppets-02-01-01,kermit
96,Muppets-02-01-01,kermit
97,Muppets-02-01-01,kermit
98,Muppets-02-01-01,kermit
99,Muppets-02-01-01,kermit
100,Muppets-02-01-01,kermit
101,Muppets-02-01-01,kermit
102,Muppets-02-01-01,kermit
103,Muppets-02-01-01,kermit
104,Muppets-02-01-01,kermit
105,Muppets-02-01-01,kermit
106,Muppets-02-01-01,kermit
107,Muppets-02-01-01,kermit
108,Muppets-02-01-01,kermit
109,Muppets-02-01-01,kermit
110,Muppets-02-01-01,no_kermit
